Origem;Data_recebimento;Id_consumidor;Tipo_pessoa;Id_inad1;Id_inad2;Tipo_baixa;Contagem;Data_mov;Comando
0aa1883c6411f7873cb83dacb17b0afc;20200423;234669489fbc45fa31f85816faf625b8;F;539fd53b59e3bb12d203f45a912eeaf2;ad71c82b22f4f65b9398f76d8be4c615;12;1;20200406.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210212;234669489fbc45fa31f85816faf625b8;F;539fd53b59e3bb12d203f45a912eeaf2;ad71c82b22f4f65b9398f76d8be4c615;12;1;20210127.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200603;234669489fbc45fa31f85816faf625b8;F;539fd53b59e3bb12d203f45a912eeaf2;ad71c82b22f4f65b9398f76d8be4c615;12;1;99999999.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20210526;234669489fbc45fa31f85816faf625b8;F;539fd53b59e3bb12d203f45a912eeaf2;ad71c82b22f4f65b9398f76d8be4c615;12;3;99999999.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20210302;234669489fbc45fa31f85816faf625b8;F;539fd53b59e3bb12d203f45a912eeaf2;ad71c82b22f4f65b9398f76d8be4c615;12;1;20210212.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210224;234669489fbc45fa31f85816faf625b8;F;539fd53b59e3bb12d203f45a912eeaf2;ad71c82b22f4f65b9398f76d8be4c615;12;1;20210208.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;00e68c42d6fd5785dd4a7db6fc800ea2;F;3dd48ab31d016ffcbf3314df2b3cb9ce;4b6538a44a1dfdc2b83477cd76dee98e;12;1;20180704.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220226;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220224.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220504;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220502.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220107;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220105.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220222;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220218.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220115;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;4;20220105.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20211222;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;2;20211220.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220427;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220425.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20211228;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20211224.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220316;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220314.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220429;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220427.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220503;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220429.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220204;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220202.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220304;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220302.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220211;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220209.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220216;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220214.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20211231;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20211229.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220323;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220321.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20211225;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20211223.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220122;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220120.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220430;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20220428.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20211123;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;2;20211119.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20211216;f192189d14efcf7c3098e672b9ba4116;F;182be0c5cdcd5072bb1864cdee4d3d6e;0950ca92a4dcf426067cfd2246bb5ff3;12;1;20211214.0;10.0
